uke,D_t,Detaljist,Grossist,Distributor,Fabrikk
69,102.23692129411083,0.0,0.0,0.0,0.0
70,104.25662682900132,192.50426959051595,178.5149910579197,164.52571252532346,150.5364339927272
71,110.71962459457812,113.66236815434797,116.60511171411781,119.54785527388765,122.49059883365749
72,96.66912766153548,0.0,0.0,0.0,0.0
73,103.36479814254974,185.2425843077202,170.4512428113552,155.65990131499018,140.86855981862516
74,104.16079709208724,0.0,0.0,0.0,0.0
75,109.83112375685947,218.40645402045834,222.82098719196995,227.23552036348156,231.65005353499316
76,105.84017614572936,0.0,0.0,0.0,0.0
77,99.56929970144223,197.14620277081394,188.88292969445632,180.6196566180987,172.35638354174108
78,98.1571205295002,0.0,0.0,0.0,0.0
79,97.54365619485714,184.18716282478016,172.67354892520297,161.15993502562577,149.64632112604858
80,105.22449035940522,110.32780993046794,115.43112950153062,120.5344490725933,125.63776864365599
81,94.31382641671031,0.0,0.0,0.0,0.0
82,93.83436633773869,173.80600023564637,159.46380771684375,145.12161519804113,130.7794226792385
83,96.08229786911477,0.0,0.0,0.0,0.0
84,92.76492119215978,178.7551915882501,168.6631641152257,158.57113664220128,148.47910916917687
85,91.52847137846038,0.0,0.0,0.0,0.0
86,86.19982562530816,164.44855012792186,151.16880325207518,137.8890563762285,124.60930950038181
87,91.08783240327516,0.0,0.0,0.0,0.0
88,88.43193145827377,170.81325511026552,162.1067463589821,153.40023760769867,144.69372885641525
89,96.1212207066906,103.26021367525823,110.39920664382589,117.53819961239356,124.67719258096122
90,93.33835377252528,0.0,0.0,0.0,0.0
91,89.87928193495034,178.5376729367433,173.85771016601095,169.1777473952786,164.49778462454626
92,93.41481637535618,94.32273504902975,95.23065372270332,96.1385723963769,97.04649107005048
93,88.59123406717373,0.0,0.0,0.0,0.0
94,95.91046936528058,187.31202625149257,190.12234907053084,192.93267188956912,195.7429947086074
95,91.11844194010978,0.0,0.0,0.0,0.0
96,94.68707311196552,185.5864062548519,185.36729745762852,185.14818866040514,184.92907986318176
97,86.06042629167155,0.0,0.0,0.0,0.0
98,95.10217366198418,180.58934552069974,180.01609108774375,179.44283665478775,178.86958222183176
99,125.87833194585573,184.1718354576126,242.46533896936944,255.5579541377861,256.1312085707421
100,125.17612355486267,158.64198423400018,237.30873325647786,270.6289464127261,212.33544290096927
101,134.93156674101746,171.79256005017652,266.5194499610257,326.4580625590387,292.9922018799012
102,133.10720531913142,150.98083359827706,237.53620677946316,267.070064489274,230.2090711801149
103,139.61489717600787,160.91831234288964,240.88835206740282,316.92638882258933,314.295617046783
104,151.22378313243024,183.81619872734467,216.4086143222591,272.93521685986167,262.80148677502933
