total_cost,holding_cost,expedite_cost,lost_sales_cost
247637.5029400181,153487.52589808148,0.0,94149.97704193663
512570.0872732045,182117.14694423915,330452.9403289654,0.0
104739.48548250015,104739.48548250015,0.0,0.0
595297.8897336896,153422.06299035708,251381.99521835905,190493.83152497353
97746.5598973628,97746.5598973628,0.0,0.0
388051.130154442,116626.21232740222,0.0,271424.9178270398
205454.75314397182,114416.84538961473,0.0,91037.90775435709
103983.29246252889,103983.29246252889,0.0,0.0
643509.6890992487,181105.8494241904,462403.8396750584,0.0
521828.6425339923,130723.0354926981,391105.6070412942,0.0
111932.67254121526,111932.67254121526,0.0,0.0
262629.1304444756,101052.79095087193,0.0,161576.3394936037
372013.86499386304,111103.55393234307,260910.31106151995,0.0
470810.2054046385,173466.6483912174,297343.5570134211,0.0
411658.4825289735,119913.12775936101,235097.6310875031,56647.72368210936
126452.10368724943,126452.10368724943,0.0,0.0
97050.32348943524,97050.32348943524,0.0,0.0
295851.7255422952,100047.44047033576,195804.28507195946,0.0
106006.35437176391,106006.35437176391,0.0,0.0
407390.1483782017,158335.60206700632,249054.5463111954,0.0
333630.4625568604,118245.58282716814,203212.4441592309,12172.43557046136
510632.6009842261,112387.92840349549,398244.67258073064,0.0
524204.6850665064,196069.287480905,328135.3975856014,0.0
424552.13064021163,109537.14814408285,271396.4658593011,43618.5166368277
82125.14490639365,82125.14490639365,0.0,0.0
447151.7897690323,114557.74051372058,240148.56784731682,92445.48140799488
136830.52301911608,100276.01570200418,0.0,36554.50731711189
543677.5667340081,138333.95426434412,405343.612469664,0.0
112447.91861903592,112447.91861903592,0.0,0.0
92359.93711668225,92359.93711668225,0.0,0.0
388675.48688383575,125657.44045016723,263018.0464336685,0.0
101972.70785533429,101972.70785533429,0.0,0.0
89215.92684445292,89215.92684445292,0.0,0.0
92575.1637258979,92575.1637258979,0.0,0.0
148277.2736686576,121048.8118449843,0.0,27228.461823673304
118688.64552379154,118688.64552379154,0.0,0.0
185596.93546828174,113046.75508777537,0.0,72550.18038050638
